lon,lat,Name,Elevation,url,Description
14.15726,51.36117,1. Ossling,500,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#1._Ossling)
14.70425,51.256806,2. Nostitzhöhe,456,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#2._Nostitzhöhe)
14.897528,51.094139,3. Jauernick,454,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#3._Jauernick)
14.984972,50.732639,4. Jeschken,123,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#4._Jeschken)
14.646833,50.848972,5. Lausche,456,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#5._Lausche)
14.278639,51.074056,6. Valtenberg,654,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#6._Valtenberg)
13.903306,51.012694,7. Porsberg,900,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#7._Porsberg)
14.108528,50.793028,8. Schneeberg,975,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#8._Schneeberg)
13.733528,50.751667,9. Kahleberg,875,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#9._Kahleberg)
13.956083,51.227278,10. Keulenberg,566,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#10._Keulenberg)
13.57527,51.38485,11. Strauch,1200,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#11._Strauch)
13.466222,51.074389,12. Baeyerhöhe,1100,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#12._Baeyerhöhe)
13.15875,50.882833,13. Udohöhe,365,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#13._Udohöhe)
13.464389,50.570583,14. Bernstein,365,https://youtu.be/-5BcpfdbHdU,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-sächsische_Triangulirung#14._Bernstein)
12.954111,50.42825,15. Fichtelberg,455,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#15._Fichtelberg)
12.722806,50.811806,16. Pfaffenberg,125,https://youtu.be/1nYRU_JujyY,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#16._Pfaffenberg)
12.770917,51.026778,17. Rochlitz,654,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#17._Rochlitz)
13.010417,51.303528,18. Collm,876,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#18._Collm)
12.795639,51.420361,19. Hohburg,987,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#19._Hohburg)
12.372556,51.336333,20. Leipzig,754,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#20._Leipzig)
12.149778,51.019083,21. Röden,366,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#21._Röden)
12.195139,50.831361,22. Reust,442,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#22._Reust)
12.221917,50.599139,23. Kuhberg,986,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#23._Kuhberg)
12.508833,50.389556,24. Aschberg,589,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#24._Aschberg)
12.300528,50.188139,25. Kapellenberg,756,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#25._Kapellenberg)
11.949833,50.488361,26. Stelzen,697,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#26._Stelzen)
11.643167,50.278278,27. Döbra,578,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#27._Döbra)
11.809917,50.03075,28. Ochsenkopf,456,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#28._Ochsenkopf)
13.834972,51.234222,29. Buchberg,246,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#29._Buchberg)
13.566722,51.209667,30. Großdobritz,264,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#30._Großdobritz)
13.474694,51.239722,31. Baselitz,973,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#31._Baselitz)
13.620722,51.3125,32. Basisende Quersa der Großenhainer Grundlinie,479,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#32._Basisende_Quersa_der_Großenhainer_Grundlinie)
13.554167,51.304944,33. Basismitte der Großenhainer Grundlinie,127,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#33._Basismitte_der_Großenhainer_Grundlinie)
13.495028,51.298167,34. Basisende RaschÃ¼tz der Großenhainer Grundlinie,412,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#34._Basisende_Raschütz_der_Großenhainer_Grundlinie)
13.248222,51.295639,35. Weida,462,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#35._Weida)
13.324639,50.901417,36. Freiberg,444,https://youtu.be/fPK78LJOo6I,Source: https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung
